caseid,weight,q_exposure_n,hard_news_or_qanon_n,q_exposure_flag,qanon_per,trump_support,knowledge,interest,college,female,non_white,age4,age4_under_30,age4_30_44,age4_45_64,age4_65,race4,mean_ideology,ideology_bin,presvote20combined,ientropy,lag,acf,mean,sd
1220931931,0.47788250277724,1,1442,1,6.934812760055479e-4,1,3,4,0,0,0,65+,0,0,0,1,White,0.08549732369864847,4,Donald Trump,0.765074370279952,1,-0.017846339987900795,0.017241379310344827,0.13130643285972254
1221337905,0.282634479977616,7,10529,1,6.648304682306011e-4,0,4,4,0,0,0,45-64,0,0,1,0,White,-0.07355001116819299,1,Joe Biden,1.222605777252097,1,-0.021970397779833513,0.07446808510638298,0.5533740437568613
1221391371,1.2151337456222,88,16828,1,0.0052293796054195384,1,4,4,1,0,0,30-44,0,1,0,0,White,0.02691459425717853,2,Donald Trump,0.7475425149384203,1,0.6028880546014503,0.822429906542056,1.927032541814063
1221400551,0.253601533813438,2,2235,1,8.948545861297539e-4,0,2,4,0,1,0,45-64,0,0,1,0,White,0.09123749789809987,4,Joe Biden,0.6276238485678681,1,-0.009998058629392341,0.0196078431372549,0.19802950859533486
1221500423,1.20698726904374,1,1532,1,6.527415143603133e-4,1,3,3,0,1,0,65+,0,0,0,1,White,0.06227540715130561,3,Donald Trump,0.7368456040478687,1,-0.012654320987654318,0.012345679012345678,0.1111111111111111
1223352539,0.429868904965959,1,866,1,0.0011547344110854503,0,4,4,1,0,0,65+,0,0,0,1,White,0.003450292397660816,2,Joe Biden,0.70651421507183,1,-0.009899105273177266,0.009708737864077669,0.0985329278164293
1223939317,0.475047979728328,6,2355,1,0.0025477707006369425,1,4,4,0,0,0,45-64,0,0,1,0,White,0.09792021645736947,4,Donald Trump,1.0237179779919385,1,0.1181818181818182,0.10909090909090909,0.3688182967626959
1223983795,0.567474410603755,1,494,1,0.0020242914979757085,1,4,4,0,0,0,65+,0,0,0,1,White,0.1709517857142857,5,Donald Trump,0.98959104658919,1,-0.009613656783468112,0.009433962264150943,0.09712858623572641
1224889501,0.439563661906294,42,7361,1,0.0057057465018339895,1,3,4,1,0,0,45-64,0,0,1,0,White,0.11021873970702956,5,Donald Trump,0.9132836620929018,1,0.17189875342049207,0.4772727272727273,1.0280801517041893
1224906041,0.400048201733562,1,1586,1,6.305170239596469e-4,1,4,4,0,0,0,45-64,0,0,1,0,White,0.41369437086092714,5,Donald Trump,0.9595134598830305,1,-0.010099009900990085,0.009900990099009901,0.09950371902099892
1224910951,0.62352768711915,1,44,1,0.022727272727272728,1,4,4,1,0,0,65+,0,0,0,1,White,0.05310148367952522,3,Donald Trump,0.047746556702532264,1,-0.01665785298783704,0.016129032258064516,0.1270001270001905
1224961755,0.980193966209854,16,8318,1,0.0019235393123346958,1,4,4,1,0,0,65+,0,0,0,1,White,0.23247945213153323,5,Donald Trump,0.8810587085849971,1,-0.0714622864155574,0.14953271028037382,0.6841016463941516
1224961799,0.352801620188799,1,4147,1,2.4113817217265494e-4,1,4,4,1,0,0,45-64,0,0,1,0,White,0.06587921724835609,4,Donald Trump,0.6630391446423501,1,-0.009802091112770688,0.009615384615384616,0.09805806756909202
1224961813,0.359451697497666,15,1284,1,0.011682242990654205,0,3,3,1,1,0,65+,0,0,0,1,White,0.0462169099756691,3,Another candidate,0.35291843802895023,1,-0.09365882124100358,0.14150943396226415,0.5422822889072938
1224984519,0.862923792068454,2,7784,1,2.5693730729701953e-4,1,2,4,0,0,0,30-44,0,1,0,0,White,0.05467240616966581,3,Donald Trump,1.1184723690236313,1,-0.009802091112770731,0.019230769230769232,0.19611613513818404
1225042375,0.590764206710257,2,175,1,0.011428571428571429,1,3,4,0,1,0,65+,0,0,0,1,White,0.13969901711761457,5,Donald Trump,0.6744246716165057,1,-0.010099009900990082,0.019801980198019802,0.19900743804199783
1225042435,0.320244053116403,2,1372,1,0.0014577259475218659,1,4,4,0,1,0,65+,0,0,0,1,White,0.04984191428571429,3,Donald Trump,0.2550528839521219,1,-1.0101010101010666e-4,0.02,0.2
1225059535,0.300810850238127,1,1690,1,5.91715976331361e-4,1,3,4,1,1,0,45-64,0,0,1,0,White,0.08217247659356162,4,Donald Trump,0.09880663885748525,1,-0.009522130135778573,0.009345794392523364,0.09667364890456635
1225075909,0.555042321695657,94,3248,1,0.02894088669950739,1,4,4,0,1,0,45-64,0,0,1,0,White,0.22242924450111573,5,Donald Trump,0.7440769187282561,1,-0.07308237760513032,0.8867924528301887,2.213898757598206
1225075963,2.71035835865626,2,1253,1,0.0015961691939345571,1,3,2,1,1,0,45-64,0,0,1,0,White,0.05010528677758319,3,Donald Trump,0.31475263704969847,1,-0.011491317671093026,0.02247191011235955,0.211999576001272
1225195029,0.429868904965959,1,10999,1,9.091735612328394e-5,0,4,4,1,0,0,65+,0,0,0,1,White,0.11478993962707698,5,Joe Biden,0.41063988947908403,1,-0.009522130135778564,0.009345794392523364,0.09667364890456635
1225232769,0.423507440712553,1,3646,1,2.7427317608337906e-4,1,4,4,0,1,0,65+,0,0,0,1,White,0.0828443649373882,4,Donald Trump,0.6256012590786998,1,-0.009522130135778555,0.009345794392523364,0.09667364890456635
1225232815,0.475047979728328,1,1611,1,6.207324643078833e-4,1,4,4,0,0,0,45-64,0,0,1,0,White,0.06575577776888925,4,Donald Trump,0.4884526118355499,1,-0.009522130135778548,0.009345794392523364,0.09667364890456635
1225274507,0.138959439839403,1,26,1,0.038461538461538464,1,4,3,0,1,0,45-64,0,0,1,0,White,0.08739137931034482,4,Donald Trump,1.1354776669316355,1,-0.05526315789473684,0.05,0.22360679774997896
1225280239,1.4828579542824,2,2054,1,9.737098344693282e-4,1,4,3,1,1,0,45-64,0,0,1,0,White,0.21188433119836628,5,Donald Trump,1.0304647728101315,1,-0.019796380090497733,0.019230769230769232,0.1380002272946792
1225281411,0.47788250277724,1,689,1,0.001451378809869376,1,3,4,0,0,1,65+,0,0,0,1,Other,0.1385208912037037,5,Donald Trump,0.8373480914978886,1,-0.009613656783468098,0.009433962264150943,0.09712858623572641
1225336005,0.460969292671476,3,317,1,0.00946372239747634,1,3,4,0,1,0,65+,0,0,0,1,White,0.28820199335548174,5,Donald Trump,1.1629370719104641,1,-0.022463768115942053,0.03260869565217391,0.23209920939218595
1225399137,0.442290388841594,4,2302,1,0.0017376194613379669,0,4,4,0,0,0,65+,0,0,0,1,White,-0.03986018796240752,1,Joe Biden,1.1584763140465593,1,-0.010414475068377864,0.04081632653061224,0.40406101782088427
1225503417,0.325094176498252,4,208,1,0.019230769230769232,1,4,4,0,1,0,45-64,0,0,1,0,White,0.02281051829268293,2,Donald Trump,0.5516941217414182,1,-0.03156565656565667,0.04040404040404041,0.2440806122772372
1225679211,1.10021101128718,125,4782,1,0.02613969050606441,1,2,3,0,1,0,45-64,0,0,1,0,White,0.11281214067278288,5,Donald Trump,1.0787809071600725,1,0.45732926444280764,1.4534883720930232,3.787462216450439
1225737333,0.144575350591221,2,4064,1,4.921259842519685e-4,1,2,4,0,1,0,65+,0,0,0,1,White,0.16369793513105788,5,Donald Trump,1.0785187327093677,1,-0.009522130135778581,0.018691588785046728,0.1933472978091327
1225748809,0.919399750246043,4,946,1,0.004228329809725159,1,2,4,0,1,0,45-64,0,0,1,0,White,0.09541859929078014,4,Donald Trump,1.2985903532000485,1,-0.014280125195618056,0.05555555555555555,0.4714045207910317
1225790493,3.91607263294667,3,30433,1,9.857720237899648e-5,0,3,2,1,0,0,30-44,0,1,0,0,White,-0.06669854280510018,1,Joe Biden,0.9623888550492075,1,-0.009613656783468072,0.02830188679245283,0.29138575870717925
1225907405,0.156835481669034,40,147489,1,2.7120666625985666e-4,1,4,4,0,0,0,45-64,0,0,1,0,White,0.08995714766925113,4,Donald Trump,0.7726080695001145,1,-0.08156329651656742,0.37383177570093457,1.668370374731782
1225944729,0.568143296292941,2,1243,1,0.0016090104585679806,1,4,4,1,0,0,45-64,0,0,1,0,White,0.3406990566037736,5,Donald Trump,0.8395865099664557,1,-0.030115830115830092,0.05405405405405406,0.22924343513512563
1225957573,0.47788250277724,1,345,1,0.002898550724637681,1,3,4,0,0,0,65+,0,0,0,1,White,0.23428004604758249,5,Donald Trump,0.5257837659573175,1,-0.014919011082693957,0.014492753623188406,0.1203858530857692
1225980499,0.453484366088073,1,300,1,0.0033333333333333335,1,2,4,0,1,0,45-64,0,0,1,0,White,-0.03809859424920128,1,Donald Trump,0.12154297446998828,1,-0.009522130135778555,0.009345794392523364,0.09667364890456635
1226208021,0.438438441963541,1,363,1,0.0027548209366391185,1,3,4,1,0,0,45-64,0,0,1,0,White,0.06895548235294117,4,Donald Trump,0.3877786024168607,1,-0.010635964912280752,0.010416666666666666,0.10206207261596575
1226455217,0.475047979728328,6,6311,1,9.507209633972429e-4,1,4,4,0,0,0,45-64,0,0,1,0,White,0.0855585287701118,4,Donald Trump,0.8061866870331681,1,-0.05124294646942201,0.07228915662650602,0.3415578560468619
1226591715,0.475047979728328,4,1823,1,0.0021941854086670325,1,4,4,0,0,0,45-64,0,0,1,0,White,0.060922886650516386,3,Donald Trump,0.5748074000518963,1,-0.020196078431372576,0.0392156862745098,0.31218072410701436
1227781925,1.34348452076766,4,2463,1,0.0016240357287860333,1,3,4,0,0,0,45-64,0,0,1,0,White,0.06062407018494682,3,Donald Trump,0.7453241542770019,1,-0.03998114097123999,0.0380952380952381,0.19234431885641176
1228477641,0.460969292671476,1,892,1,0.0011210762331838565,1,4,4,0,1,0,65+,0,0,0,1,White,0.1014963674467342,5,Donald Trump,0.8632705523848001,1,-0.016121031746031744,0.015625,0.125
1228509539,0.475047979728328,1,2219,1,4.506534474988734e-4,1,4,4,0,0,0,45-64,0,0,1,0,White,0.293088834486429,5,Donald Trump,0.12803188156685263,1,-0.010750279955207186,0.010526315789473684,0.10259783520851541
1228628699,0.567474410603755,1,91,1,0.01098901098901099,1,3,4,0,0,0,65+,0,0,0,1,White,0.08801610360360361,4,Donald Trump,0.42264948263562435,1,-0.02773826458036982,0.02631578947368421,0.16222142113076254
1228642119,0.827688255148237,1,9183,1,1.0889687465969727e-4,0,2,3,0,0,1,45-64,0,0,1,0,Black,-0.033290309726498823,1,Did not vote for President,0.6817676942728045,1,-0.010099009900990098,0.009900990099009901,0.09950371902099892
1228642473,1.39382852020055,18,5344,1,0.0033682634730538923,0,3,3,0,0,1,Under 30,1,0,0,0,Hispanic,-0.03866979312842334,1,Howie Hawkins,0.6872713652617013,1,0.3136410820052524,0.16981132075471697,1.238060680974637
1229907187,1.60732446236523,1,937,1,0.0010672358591248667,1,3,4,0,0,0,30-44,0,1,0,0,White,0.06710187446748082,4,Donald Trump,0.6901398773622082,1,-0.010099009900990098,0.009900990099009901,0.09950371902099892
1230529719,5.77335954975646,14,1752,1,0.007990867579908675,0,2,2,1,1,1,Under 30,1,0,0,0,Other,-0.02309707266843189,1,Joe Biden,1.0444536686218204,1,0.052049582719685954,0.13333333333333333,0.501280411827603
1231353685,1.20888627644204,2,198,1,0.010101010101010102,1,4,3,1,1,0,45-64,0,0,1,0,White,0.1263605212725182,5,Donald Trump,0.669632218775864,1,-0.0865384615384615,0.07692307692307693,0.271746488194703
1231463317,6.0725076091708,1,19329,1,5.1735733871384965e-5,1,3,2,1,0,0,30-44,0,1,0,0,White,-0.0892782087209954,1,Donald Trump,0.9595255337657624,1,-0.009522130135778564,0.009345794392523364,0.09667364890456635
