weight,q_exposure_n,hard_news_or_qanon_n,q_exposure_flag,qanon_per,trump_support,knowledge,interest,college,female,non_white,age4,age4_under_30,age4_30_44,age4_45_64,age4_65,race4,mean_ideology,ideology_bin,presvote20combined
1.34309677106123,0,18,0,0,0,2,3,0,0,1,30-44,0,1,0,0,Hispanic,-0.07510275268817204,1,Joe Biden
0.460969292671476,0,1972,0,0,1,4,4,0,1,0,65+,0,0,0,1,White,0.1498714142761841,5,Donald Trump
0.102586250700567,0,307,0,0,0,3,4,1,1,0,45-64,0,0,1,0,White,0.024072449482503696,2,Joe Biden
0.273768853362042,0,73,0,0,1,1,4,0,1,0,45-64,0,0,1,0,White,0.09200012666244459,4,Donald Trump
0.648863908044018,0,550,0,0,1,3,4,1,1,0,30-44,0,1,0,0,White,0.05726440677966101,3,Donald Trump
0.325094176498252,4,208,1,0.019230769230769232,1,4,4,0,1,0,45-64,0,0,1,0,White,0.02281051829268293,2,Donald Trump
0.956515340847612,0,740,0,0,0,2,3,0,0,0,45-64,0,0,1,0,White,-0.023861859761859762,1,Joe Biden
0.703826282340527,0,1681,0,0,0,4,4,0,0,0,65+,0,0,0,1,White,-0.023452093896713613,1,Joe Biden
0.517068911072594,0,4729,0,0,1,4,4,0,0,0,45-64,0,0,1,0,White,0.2042367991845056,5,Donald Trump
0.529603565385504,0,1700,0,0,0,2,4,1,1,0,30-44,0,1,0,0,White,-0.042483960325261375,1,Howie Hawkins
0.423229462352929,0,1411,0,0,0,4,4,0,1,0,30-44,0,1,0,0,White,-9.003206361421053e-4,2,Joe Biden
1.78857713793392,0,364,0,0,0,4,2,1,0,0,Under 30,1,0,0,0,White,0.04166887159533074,3,Joe Biden
0.512378229080326,0,11,0,0,0,4,4,1,0,0,30-44,0,1,0,0,White,0.01057231638418079,2,Joe Biden
1.30641071943527,0,5514,0,0,0,2,3,0,1,0,30-44,0,1,0,0,White,0.09502627770653965,4,Joe Biden
0.590078817952668,0,190,0,0,0,3,3,0,0,0,45-64,0,0,1,0,White,0.15010376553515117,5,Joe Biden
0.156835481669034,0,359,0,0,1,3,4,0,0,0,45-64,0,0,1,0,White,0.015182428266540194,2,Donald Trump
0.665921723263085,0,6703,0,0,0,3,4,0,0,0,30-44,0,1,0,0,White,0.08222531276569901,4,Jo Jorgensen
0.451776861914069,0,96,0,0,0,3,4,1,0,1,45-64,0,0,1,0,Black,0.07038597988418166,4,Did not vote for President
0.287604880428907,0,4167,0,0,0,4,4,0,1,0,65+,0,0,0,1,White,0.08380535415107118,4,Joe Biden
1.90116766986286,0,3270,0,0,0,4,3,1,0,1,30-44,0,1,0,0,Other,-0.10926349447214394,1,Joe Biden
0.588233952936575,0,277,0,0,1,4,4,1,0,0,45-64,0,0,1,0,White,0.10112037914691943,5,Donald Trump
2.81424947409467,0,2858,0,0,1,4,3,1,1,1,30-44,0,1,0,0,Other,0.04340431738623104,3,Donald Trump
0.254154838088786,0,7530,0,0,0,4,4,1,1,0,45-64,0,0,1,0,White,0.08829302336809579,4,Joe Biden
0.475047979728328,0,9760,0,0,1,3,4,0,0,0,45-64,0,0,1,0,White,0.08073996773422562,4,Donald Trump
1.5347198722256,0,28,0,0,1,2,3,0,1,0,45-64,0,0,1,0,White,-0.1388002617801047,1,Donald Trump
0.231307077337476,0,2740,0,0,0,4,4,0,1,0,45-64,0,0,1,0,White,0.12613027732902532,5,Joe Biden
0.926511542780597,0,895,0,0,1,2,3,0,1,1,45-64,0,0,1,0,Other,0.0071758568851473265,2,Donald Trump
0.791588382590513,0,1229,0,0,1,3,4,0,0,0,65+,0,0,0,1,White,0.23005197224251278,5,Donald Trump
0.345994985212976,0,9,0,0,0,4,4,1,0,0,45-64,0,0,1,0,White,-0.060172413793103445,1,Joe Biden
0.102586250700567,0,3594,0,0,0,3,4,1,1,0,45-64,0,0,1,0,White,-0.021732980332829045,1,Joe Biden
6.41164066878541,0,3,0,0,0,4,1,0,1,1,65+,0,0,0,1,Hispanic,0.12891960784313727,5,Joe Biden
0.234466014381662,0,5105,0,0,0,4,4,1,0,0,30-44,0,1,0,0,White,0.03655719036992533,3,Joe Biden
0.233968220701252,0,2053,0,0,0,2,4,0,1,0,45-64,0,0,1,0,White,0.1017557104599874,5,Joe Biden
0.477997418251717,0,344,0,0,0,3,4,1,1,0,30-44,0,1,0,0,White,-0.020821097046413505,1,Joe Biden
0.253601533813438,0,1058,0,0,0,3,4,0,1,0,45-64,0,0,1,0,White,-0.05806210740829537,1,Joe Biden
0.567474410603755,0,4581,0,0,1,4,4,0,0,0,65+,0,0,0,1,White,0.10172600378236835,5,Donald Trump
0.253601533813438,0,132,0,0,0,2,4,0,1,0,45-64,0,0,1,0,White,0.00835061082024433,2,Joe Biden
0.325094176498252,0,2236,0,0,1,1,4,0,1,0,45-64,0,0,1,0,White,0.05896786644029428,3,Donald Trump
1.45196833959979,0,186,0,0,0,3,3,1,1,0,30-44,0,1,0,0,White,0.08563163461538462,4,Joe Biden
0.339698164001695,0,808,0,0,0,4,4,0,1,0,65+,0,0,0,1,White,-0.051406860465116284,1,Joe Biden
0.306351595169879,0,127,0,0,0,4,4,0,0,0,45-64,0,0,1,0,White,0.07162700045724736,4,Joe Biden
